Time (UTC),Latitude,Longitude,Temperature QC,Temperature,Salinity QC,Salinity,Chlorophyll QC,Chlorophyll,Turbidity QC,Turbidity,Oxygen QC,Oxygen,Waves QC,Significant wave height,Wave from direction,Wave period,North surface currents,East surface currents
day-month-year hour:minute:second,Degrees East,Degrees North,QC Code,Degrees Celsius,QC Code,practical salinity unit,QC Code,Micrograms per Liter,QC Code,Nephelometric Turbidity Units,QC Code,millilitres O2 per liter,QC Code,meters,Degrees clockwise from due north,seconds,meters/second,meters/second
Dd-MMM-yyyy HH:mm:ss,deg e,deg n,int,°C,int,PSU,int,ug/L,int,NTU,int,ml/L,int,meters,°,s,m/s,m/s
01-Jan-19 00:00:00,36.99820,-76.08704,1,8.64,1,13.62,1,8.35,1,1.18,1,12.24,1,0.37,114.5,2.6,97.92,-51.01
01-Jan-19 01:00:00,36.99817,-76.08698,1,8.71,1,13.54,1,7.58,1,1.19,1,12.24,1,0.34,133.5,2.5,19.21,37.34
01-Jan-19 02:00:00,36.99813,-76.08691,1,8.79,3,15.44,1,7.27,1,1.28,1,11.72,1,0.31,123.2,2.8,14.64,83.97
01-Jan-19 03:00:00,36.99811,-76.08688,1,9.05,1,14.05,1,6.95,1,1.46,1,11.73,1,0.26,120.9,2.9,-38.96,160.65
01-Jan-19 04:00:00,36.99808,-76.08685,1,9.01,1,13.22,1,5.38,1,1.62,1,11.49,1,0.39,164.5,2.6,42.55,401.94
01-Jan-19 05:00:00,36.99809,-76.08687,3,8.49,1,12.61,1,9.05,3,1.1,1,12.14,1,0.44,144.8,3.1,-54.65,185.68
01-Jan-19 06:00:00,36.99811,-76.08687,1,8.51,1,12.63,1,10.01,1,1.19,1,12.11,3,0.61,155.3,3.2,-73.34,172.53
01-Jan-19 07:00:00,36.99813,-76.08689,1,8.52,1,12.46,1,9.94,1,1.12,1,11.97,1,0.7,131.9,3.5,24.01,18.93
01-Jan-19 08:00:00,36.99815,-76.08697,1,8.6,1,12.59,1,9.75,1,1.12,1,11.91,1,0.71,154.3,3.3,117.03,-130.11
01-Jan-19 09:00:00,36.99821,-76.08700,1,8.7,1,12.99,1,9.19,1,1.16,1,11.81,1,0.76,150.5,3.5,215.27,-140.53
